Window_Scheme,Window_Type,Window_Size,Train_Start_Index,Train_End_Index,Train_Periods,Train_Range_Label,Test_Index,Test_Period,Feature_Scheme,Predictors,N_Predictors,Train_N,Train_Pos,Train_Neg,Test_N,Test_Pos,Test_Neg,Model,Tune_CV_AUC,Train_AUC,Test_AUC,Error,Has_Test_AUC,Run_Status,Feature_Display,Model_Group,Model_Display
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,4_All_dN_All_dS_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,Lasso,0.6756368230727924,0.6897508144756538,0.8518518518518519,NA,TRUE,OK,"All dN
+ all dS",ML/DL,Lasso Classifier
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,4_All_dN_All_dS_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,SVM_Radial,0.7173775733486499,0.992999911948578,0.5333333333333333,NA,TRUE,OK,"All dN
+ all dS",ML/DL,Support Vector Machine (SVC)
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,4_All_dN_All_dS_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,RandomForest,0.7152744888705361,1,0.7999999999999999,NA,TRUE,OK,"All dN
+ all dS",ML/DL,Random Forest (RFC)
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,4_All_dN_All_dS_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,XGBoost,0.7036335238279736,0.9979528044377917,0.8148148148148148,NA,TRUE,OK,"All dN
+ all dS",ML/DL,XGBoost Classifier
rolling_width_10,rolling,10,1,10,"Mos99,Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17",Mos99-Kan17 -> HK19,11,HK19,4_All_dN_All_dS_PB2_to_NS,"PB2,PB1,PA,HA,NP,NA_seg,M,NS,PB2_syn,PB1_syn,PA_syn,HA_syn,NP_syn,NA_syn,M_syn,NS_syn",16,636,82,554,24,9,15,DNN,0.7299232994260804,0.8334727480848816,0.7333333333333333,NA,TRUE,OK,"All dN
+ all dS",ML/DL,Deep Neural Network (DNN)
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,Logistic,NA,0.760095238095238,0.6405228758169934,NA,TRUE,OK,"Selected dN
HA × PB1 + PB2 + NA",ML/DL,Logistic Classifier
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,Ridge,0.7463470141489804,0.7602619047619048,0.6470588235294118,NA,TRUE,OK,"Selected dN
HA × PB1 + PB2 + NA",ML/DL,Ridge Classifier
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,Lasso,0.8295345251002036,0.750452380952381,0.4640522875816993,NA,TRUE,OK,"Selected dN
HA × PB1 + PB2 + NA",ML/DL,Lasso Classifier
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,SVM_Radial,0.7522256992356047,0.8989761904761905,0.5490196078431372,NA,TRUE,OK,"Selected dN
HA × PB1 + PB2 + NA",ML/DL,Support Vector Machine (SVC)
rolling_width_10,rolling,10,2,11,"Fuj02,Cal04,Wis05,Bris07,Prth09,Vic11,Swtz13,HK15,Kan17,HK19",Fuj02-HK19 -> Cam20,12,Cam20,1_Selected_dN_Final_HA_x_PB1_plus_PB2_NA,"HA,PB1,PB2,NA_seg,HA_x_PB1",5,584,84,500,26,9,17,RandomForest,0.7386484410933701,1,0.7777777777777778,NA,TRUE,OK,"Selected dN
HA × PB1 + PB2 + NA",ML/DL,Random Forest (RFC)
